ticker,atr,sl,tp,trail,equity,total_return,sharpe,maxdd,num_trades,win_rate
AAPL,26,4.962597,2.86982,0.776389,100820.467682,0.008205,1.138560,-0.001154,28,0.678571
ABBV,26,4.962597,2.86982,0.776389,99917.456924,-0.000825,-0.110111,-0.005956,34,0.470588
ADPT,26,4.962597,2.86982,0.776389,100507.603314,0.005076,0.403032,-0.003988,32,0.562500
AEM,26,4.962597,2.86982,0.776389,100448.764722,0.004488,0.489516,-0.003747,33,0.515152
ALNY,26,4.962597,2.86982,0.776389,100588.862014,0.005889,0.499799,-0.004743,39,0.487179
AMAT,26,4.962597,2.86982,0.776389,100190.472664,0.001905,0.149216,-0.004471,36,0.444444
AMD,26,4.962597,2.86982,0.776389,99245.261665,-0.007547,-0.441662,-0.011857,37,0.486486
AMKR,26,4.962597,2.86982,0.776389,100254.388538,0.002544,0.261200,-0.005838,34,0.558824
AMRC,26,4.962597,2.86982,0.776389,99449.216761,-0.005508,-0.312758,-0.013321,49,0.489796
AMX,26,4.962597,2.86982,0.776389,100571.244745,0.005712,0.973670,-0.001223,43,0.581395
ANVS,26,4.962597,2.86982,0.776389,97438.667095,-0.025613,-0.809559,-0.037952,52,0.346154
APH,26,4.962597,2.86982,0.776389,99809.498598,-0.001905,-0.297276,-0.004639,35,0.514286
APLD,26,4.962597,2.86982,0.776389,102583.818796,0.025838,0.730587,-0.008660,38,0.500000
APP,26,4.962597,2.86982,0.776389,99643.060436,-0.003569,-0.263378,-0.006457,32,0.437500
APPN,26,4.962597,2.86982,0.776389,100482.538491,0.004825,0.644865,-0.002959,33,0.636364
AREC,26,4.962597,2.86982,0.776389,96621.702679,-0.033783,-0.776931,-0.047307,39,0.512821
ARGX,26,4.962597,2.86982,0.776389,99862.980688,-0.001370,-0.208451,-0.003860,42,0.500000
ARWR,26,4.962597,2.86982,0.776389,104130.336442,0.041303,1.550493,-0.004726,34,0.647059
ASC,26,4.962597,2.86982,0.776389,99368.378468,-0.006316,-0.528838,-0.011584,46,0.434783
ASML,26,4.962597,2.86982,0.776389,99936.986846,-0.000630,-0.078181,-0.003703,36,0.472222
AVDL,26,4.962597,2.86982,0.776389,101282.519121,0.012825,1.128056,-0.001958,33,0.545455
AVGO,26,4.962597,2.86982,0.776389,100798.659925,0.007987,0.586492,-0.004083,30,0.633333
AXP,26,4.962597,2.86982,0.776389,100527.377949,0.005274,0.742584,-0.003198,37,0.594595
AXSM,26,4.962597,2.86982,0.776389,99784.827677,-0.002152,-0.180011,-0.008768,45,0.511111
AZTA,26,4.962597,2.86982,0.776389,100349.700007,0.003497,0.340846,-0.004870,44,0.545455
BBAI,26,4.962597,2.86982,0.776389,103163.379212,0.031634,0.789072,-0.010039,39,0.564103
BBIO,26,4.962597,2.86982,0.776389,99962.080245,-0.000379,-0.036805,-0.005214,37,0.459459
BITF,26,4.962597,2.86982,0.776389,100527.194031,0.005272,0.144851,-0.015818,43,0.441860
BLD,26,4.962597,2.86982,0.776389,100651.496918,0.006515,0.504088,-0.008412,45,0.533333
BLTE,26,4.962597,2.86982,0.776389,100388.027937,0.003880,0.332212,-0.013509,25,0.520000
BOOT,26,4.962597,2.86982,0.776389,99892.380294,-0.001076,-0.079719,-0.010998,43,0.558140
BW,26,4.962597,2.86982,0.776389,97859.688727,-0.021403,-0.632916,-0.023622,46,0.369565
CAT,26,4.962597,2.86982,0.776389,100054.346681,0.000543,0.125948,-0.003015,32,0.406250
CCJ,26,4.962597,2.86982,0.776389,100029.492070,0.000295,0.033756,-0.006188,33,0.545455
CDE,26,4.962597,2.86982,0.776389,100179.150914,0.001792,0.153274,-0.004378,27,0.481481
CEG,26,4.962597,2.86982,0.776389,99834.149056,-0.001659,-0.139896,-0.007877,41,0.487805
CENX,26,4.962597,2.86982,0.776389,97833.496147,-0.021665,-1.388653,-0.021745,37,0.297297
CIEN,26,4.962597,2.86982,0.776389,101617.668870,0.016177,0.924443,-0.005623,38,0.578947
CLS,26,4.962597,2.86982,0.776389,100537.016673,0.005370,0.478090,-0.004476,30,0.600000
CLSK,26,4.962597,2.86982,0.776389,99402.857086,-0.005971,-0.274118,-0.015774,47,0.489362
CMI,26,4.962597,2.86982,0.776389,100445.157479,0.004452,0.780274,-0.001553,43,0.581395
CNQ,26,4.962597,2.86982,0.776389,100351.475888,0.003515,0.598635,-0.001647,31,0.483871
COGT,26,4.962597,2.86982,0.776389,99018.811941,-0.009812,-0.605826,-0.014365,33,0.333333
COHR,26,4.962597,2.86982,0.776389,99749.308579,-0.002507,-0.226350,-0.008055,36,0.500000
COIN,26,4.962597,2.86982,0.776389,101039.884360,0.010399,0.617038,-0.006844,36,0.555556
COPX,26,4.962597,2.86982,0.776389,99389.973415,-0.006100,-0.668307,-0.008200,35,0.514286
CRSP,26,4.962597,2.86982,0.776389,100854.478349,0.008545,0.455832,-0.007277,33,0.515152
CRWV,26,4.962597,2.86982,0.776389,100066.512287,0.000665,0.027196,-0.019859,35,0.428571
CSIQ,26,4.962597,2.86982,0.776389,100941.107486,0.009411,0.564685,-0.008053,36,0.500000
CURE,26,4.962597,2.86982,0.776389,100432.527294,0.004325,0.372621,-0.007641,37,0.486486
CVI,26,4.962597,2.86982,0.776389,100225.366637,0.002254,0.209440,-0.005901,41,0.609756
DDOG,26,4.962597,2.86982,0.776389,100094.065506,0.000941,0.093732,-0.009407,30,0.533333
DELL,26,4.962597,2.86982,0.776389,100370.033954,0.003700,0.243602,-0.006738,31,0.451613
DINO,26,4.962597,2.86982,0.776389,99530.221460,-0.004698,-0.550915,-0.009793,42,0.428571
EBR,26,4.962597,2.86982,0.776389,100246.186683,0.002462,0.659612,-0.001636,34,0.470588
EOSE,26,4.962597,2.86982,0.776389,100174.504129,0.001745,0.054052,-0.015985,39,0.487179
EPAM,26,4.962597,2.86982,0.776389,99973.003070,-0.000270,-0.009680,-0.010769,51,0.411765
ERO,26,4.962597,2.86982,0.776389,100880.405417,0.008804,0.611799,-0.005279,43,0.627907
EXAS,26,4.962597,2.86982,0.776389,100521.847263,0.005218,0.307881,-0.009050,39,0.666667
FTI,26,4.962597,2.86982,0.776389,99573.059841,-0.004269,-0.608527,-0.008195,36,0.388889
FUTU,26,4.962597,2.86982,0.776389,100307.942415,0.003079,0.248805,-0.008563,34,0.470588
GDX,26,4.962597,2.86982,0.776389,101057.612917,0.010576,0.954574,-0.002573,39,0.512821
GE,26,4.962597,2.86982,0.776389,99590.585771,-0.004094,-0.573213,-0.004412,37,0.486486
GEV,26,4.962597,2.86982,0.776389,99724.467353,-0.002755,-0.271865,-0.006364,35,0.457143
GH,26,4.962597,2.86982,0.776389,100139.496347,0.001395,0.095899,-0.010538,28,0.500000
GLUE,26,4.962597,2.86982,0.776389,99816.352386,-0.001836,-0.092386,-0.013304,35,0.542857
GLW,26,4.962597,2.86982,0.776389,100766.553887,0.007666,1.008046,-0.002217,31,0.548387
GM,26,4.962597,2.86982,0.776389,100008.971610,0.000090,0.012403,-0.004658,35,0.428571
GOOGL,26,4.962597,2.86982,0.776389,99903.256178,-0.000967,-0.075400,-0.006036,37,0.459459
GOSS,26,4.962597,2.86982,0.776389,101045.825434,0.010458,0.495814,-0.005540,36,0.500000
GRAL,26,4.962597,2.86982,0.776389,100739.387003,0.007394,0.544681,-0.007746,36,0.500000
GSAT,26,4.962597,2.86982,0.776389,100837.260679,0.008373,0.489279,-0.003327,37,0.486486
HLF,26,4.962597,2.86982,0.776389,100232.996474,0.002330,0.140779,-0.007952,35,0.485714
HOOD,26,4.962597,2.86982,0.776389,102181.530874,0.021815,0.866541,-0.006094,38,0.473684
HTHT,26,4.962597,2.86982,0.776389,99904.034509,-0.000960,-0.179005,-0.005397,39,0.358974
IBB,26,4.962597,2.86982,0.776389,100444.871878,0.004449,0.802894,-0.001405,37,0.621622
IBM,26,4.962597,2.86982,0.776389,99935.464962,-0.000645,-0.095702,-0.002706,32,0.437500
ILMN,26,4.962597,2.86982,0.776389,100361.155832,0.003612,0.421383,-0.003124,39,0.487179
IMAX,26,4.962597,2.86982,0.776389,100018.577171,0.000186,0.020853,-0.004265,47,0.510638
IMO,26,4.962597,2.86982,0.776389,100270.545571,0.002705,0.323369,-0.003335,44,0.477273
INCY,26,4.962597,2.86982,0.776389,99738.032476,-0.002620,-0.289517,-0.007418,33,0.393939
INTC,26,4.962597,2.86982,0.776389,100619.748112,0.006197,0.417309,-0.005269,37,0.459459
IONQ,26,4.962597,2.86982,0.776389,101397.645834,0.013976,0.523986,-0.009691,31,0.612903
IQV,26,4.962597,2.86982,0.776389,99942.749442,-0.000573,-0.060572,-0.006403,38,0.552632
IREN,26,4.962597,2.86982,0.776389,99305.331343,-0.006947,-0.184885,-0.024373,32,0.468750
JAZZ,26,4.962597,2.86982,0.776389,99663.875978,-0.003361,-0.452806,-0.006627,41,0.414634
JPM,26,4.962597,2.86982,0.776389,99904.802037,-0.000952,-0.229386,-0.003100,36,0.416667
KOD,26,4.962597,2.86982,0.776389,102553.593400,0.025536,0.775722,-0.011361,37,0.540541
LABU,26,4.962597,2.86982,0.776389,102052.382104,0.020524,0.782801,-0.012089,53,0.603774
LEU,26,4.962597,2.86982,0.776389,102507.816559,0.025078,1.136650,-0.006948,42,0.595238
LGND,26,4.962597,2.86982,0.776389,99753.961231,-0.002460,-0.320596,-0.005332,51,0.549020
LITE,26,4.962597,2.86982,0.776389,100618.002101,0.006180,0.369867,-0.005532,35,0.485714
LLY,26,4.962597,2.86982,0.776389,101102.513958,0.011025,0.797409,-0.003239,32,0.531250
LRCX,26,4.962597,2.86982,0.776389,100471.250359,0.004713,0.476629,-0.003792,32,0.593750
LVS,26,4.962597,2.86982,0.776389,99871.195427,-0.001288,-0.091629,-0.007744,30,0.533333
LYFT,26,4.962597,2.86982,0.776389,99370.852013,-0.006291,-0.586387,-0.008496,32,0.531250
MAR,26,4.962597,2.86982,0.776389,100590.255041,0.005903,0.904714,-0.002744,37,0.540541
MDB,26,4.962597,2.86982,0.776389,101555.472978,0.015555,0.952634,-0.003478,34,0.617647
MDT,26,4.962597,2.86982,0.776389,100015.615328,0.000156,0.039892,-0.002002,34,0.470588
META,26,4.962597,2.86982,0.776389,100671.348805,0.006713,0.777772,-0.004131,35,0.571429
MKSI,26,4.962597,2.86982,0.776389,100876.116863,0.008761,0.654866,-0.004784,44,0.613636
MLI,26,4.962597,2.86982,0.776389,100659.967069,0.006600,0.759484,-0.002187,43,0.581395
MLYS,26,4.962597,2.86982,0.776389,99500.129608,-0.004999,-0.276028,-0.009853,41,0.439024
MP,26,4.962597,2.86982,0.776389,102021.186959,0.020212,1.158834,-0.003948,30,0.566667
MRK,26,4.962597,2.86982,0.776389,100161.575490,0.001616,0.284404,-0.003757,32,0.468750
MSFT,26,4.962597,2.86982,0.776389,99488.644669,-0.005114,-0.839136,-0.006470,33,0.484848
MU,26,4.962597,2.86982,0.776389,100005.284250,0.000053,0.006107,-0.004853,34,0.500000
NAIL,26,4.962597,2.86982,0.776389,101915.492587,0.019155,1.041685,-0.006322,39,0.589744
NAMS,26,4.962597,2.86982,0.776389,101324.580815,0.013246,0.694981,-0.004077,39,0.564103
NBIS,26,4.962597,2.86982,0.776389,99212.861943,-0.007871,-0.229867,-0.019698,36,0.555556
NEGG,26,4.962597,2.86982,0.776389,98058.065608,-0.019419,-0.353393,-0.037429,40,0.450000
NEM,26,4.962597,2.86982,0.776389,100363.028731,0.003630,0.612925,-0.002270,32,0.593750
NFE,26,4.962597,2.86982,0.776389,95854.100852,-0.041459,-1.010941,-0.049254,38,0.315789
NFLX,26,4.962597,2.86982,0.776389,100004.362965,0.000044,0.007659,-0.003772,31,0.580645
NG,26,4.962597,2.86982,0.776389,99536.560047,-0.004634,-0.401650,-0.008116,33,0.484848
NGL,26,4.962597,2.86982,0.776389,103859.637436,0.038596,0.924368,-0.010818,49,0.367347
NTRA,26,4.962597,2.86982,0.776389,101675.251517,0.016753,0.729247,-0.004815,43,0.558140
NVDA,26,4.962597,2.86982,0.776389,99623.121667,-0.003769,-0.399944,-0.006441,38,0.394737
NVGS,26,4.962597,2.86982,0.776389,100118.532793,0.001185,0.131096,-0.005661,50,0.520000
NVT,26,4.962597,2.86982,0.776389,99988.028798,-0.000120,-0.008100,-0.006505,39,0.435897
NVTS,26,4.962597,2.86982,0.776389,98066.553447,-0.019334,-0.617242,-0.020929,38,0.342105
OKLO,26,4.962597,2.86982,0.776389,101247.701019,0.012477,0.484618,-0.012737,33,0.545455
OLMA,26,4.962597,2.86982,0.776389,105195.029307,0.051950,1.298770,-0.010394,39,0.615385
PBF,26,4.962597,2.86982,0.776389,100097.789361,0.000978,0.064038,-0.006838,37,0.567568
PBR,26,4.962597,2.86982,0.776389,99885.003950,-0.001150,-0.155637,-0.004355,42,0.380952
PGEN,26,4.962597,2.86982,0.776389,103243.664707,0.032437,0.780058,-0.012949,39,0.564103
PLTR,26,4.962597,2.86982,0.776389,99914.312034,-0.000857,-0.086959,-0.004319,36,0.444444
QBTS,26,4.962597,2.86982,0.776389,99366.518868,-0.006335,-0.249284,-0.011818,34,0.470588
QSI,26,4.962597,2.86982,0.776389,102396.693109,0.023967,0.613386,-0.017382,47,0.404255
RCUS,26,4.962597,2.86982,0.776389,99616.021431,-0.003840,-0.303111,-0.007687,37,0.405405
REGN,26,4.962597,2.86982,0.776389,99646.453570,-0.003535,-0.355458,-0.011063,45,0.422222
RGEN,26,4.962597,2.86982,0.776389,102526.578012,0.025266,1.493948,-0.003282,41,0.609756
RGTI,26,4.962597,2.86982,0.776389,98612.478030,-0.013875,-0.498505,-0.022159,35,0.457143
RIG,26,4.962597,2.86982,0.776389,101333.566374,0.013336,0.957010,-0.005274,36,0.583333
RIGL,26,4.962597,2.86982,0.776389,100389.292444,0.003893,0.248309,-0.008081,45,0.511111
ROST,26,4.962597,2.86982,0.776389,100413.903874,0.004139,0.732044,-0.002041,31,0.580645
RTX,26,4.962597,2.86982,0.776389,100042.944502,0.000429,0.124562,-0.002055,32,0.562500
SA,26,4.962597,2.86982,0.776389,99798.937562,-0.002011,-0.120791,-0.009671,42,0.523810
SBGI,26,4.962597,2.86982,0.776389,100353.189734,0.003532,0.326991,-0.004287,47,0.489362
SBIT,26,4.962597,2.86982,0.776389,102449.440669,0.024494,1.397674,-0.006276,52,0.596154
SILJ,26,4.962597,2.86982,0.776389,99999.049356,-0.000010,0.000948,-0.004015,30,0.400000
SIMO,26,4.962597,2.86982,0.776389,101542.682866,0.015427,1.138892,-0.004504,51,0.568627
SNDK,26,4.962597,2.86982,0.776389,99665.813828,-0.003342,-0.162728,-0.008681,34,0.441176
SNOW,26,4.962597,2.86982,0.776389,99440.738005,-0.005593,-0.613946,-0.008584,32,0.437500
SOFI,26,4.962597,2.86982,0.776389,102123.983845,0.021240,0.934274,-0.004264,41,0.609756
SOXL,26,4.962597,2.86982,0.776389,101011.851845,0.010119,0.414512,-0.006799,50,0.520000
SPXL,26,4.962597,2.86982,0.776389,100691.530990,0.006915,0.718060,-0.002753,47,0.510638
SQM,26,4.962597,2.86982,0.776389,101960.248669,0.019602,1.117275,-0.007016,37,0.648649
SRTY,26,4.962597,2.86982,0.776389,100151.357385,0.001514,0.104775,-0.006373,51,0.450980
STX,26,4.962597,2.86982,0.776389,100976.919509,0.009769,0.797683,-0.004912,28,0.678571
SU,26,4.962597,2.86982,0.776389,100037.977464,0.000380,0.053960,-0.003499,39,0.435897
TEL,26,4.962597,2.86982,0.776389,100218.516127,0.002185,0.361865,-0.001686,35,0.542857
TERN,26,4.962597,2.86982,0.776389,99598.001524,-0.004020,-0.208934,-0.011238,37,0.405405
TEVA,26,4.962597,2.86982,0.776389,100489.646835,0.004896,0.479696,-0.003781,29,0.551724
TK,26,4.962597,2.86982,0.776389,99252.908431,-0.007471,-0.954535,-0.008348,44,0.409091
TNDM,26,4.962597,2.86982,0.776389,101132.622682,0.011326,0.642352,-0.007094,30,0.466667
TSLA,26,4.962597,2.86982,0.776389,101605.983219,0.016060,0.834745,-0.006195,43,0.604651
TSM,26,4.962597,2.86982,0.776389,100282.500188,0.002825,0.367363,-0.003827,43,0.488372
UHS,26,4.962597,2.86982,0.776389,99975.171491,-0.000248,-0.035270,-0.005562,42,0.547619
UPRO,26,4.962597,2.86982,0.776389,99622.703677,-0.003773,-0.399731,-0.005376,38,0.394737
URA,26,4.962597,2.86982,0.776389,100061.376491,0.000614,0.070602,-0.004401,31,0.451613
VET,26,4.962597,2.86982,0.776389,100809.293778,0.008093,0.444452,-0.009195,41,0.536585
VLO,26,4.962597,2.86982,0.776389,99426.170689,-0.005738,-0.465570,-0.006628,38,0.421053
VRT,26,4.962597,2.86982,0.776389,99780.241419,-0.002198,-0.212438,-0.010290,34,0.500000
VTR,26,4.962597,2.86982,0.776389,99965.305076,-0.000347,-0.074459,-0.002806,30,0.533333
WGS,26,4.962597,2.86982,0.776389,98520.524270,-0.014795,-0.915721,-0.018484,42,0.428571
WWD,26,4.962597,2.86982,0.776389,101218.548088,0.012185,1.655878,-0.001238,46,0.695652
XBI,26,4.962597,2.86982,0.776389,100862.063195,0.008621,1.518103,-0.000756,41,0.658537
XPEV,26,4.962597,2.86982,0.776389,100683.601643,0.006836,0.472826,-0.005516,38,0.473684
ZIM,26,4.962597,2.86982,0.776389,99321.326441,-0.006787,-0.652340,-0.009052,31,0.354839
